,startTime,endTime,control,transitionType,targetX,targetY,targetTheta,threshXY,threshTheta,uid,sid,cid,interfaceID,numClicks,draggingDuration,cycleLength,targetDistance
71,1599759300.581,1599759316.103,targetdrag,press/release,307.0956740688477,155.28540109044033,4.994097942878524,17.108160611745895,14.900519187491557,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt4QUa53bmYVPR2Mh4,targetdrag-press/release,6,11.447,15.521999835968018,106.17376227403041
72,1599858132.438,1599858134.758,target,click,413.23191343414317,413.7210349533242,-100.94318441518135,27.365882161528575,40.209711355931645,0VqDgXFsjXPDY51iSjqL1qMRzEK2,-MGyyQLwyQwd0lzzIZUp,-MGyyRMLBbRCbi3UinPe,target-click,2,-1.0,2.319999933242798,174.05472543013366
73,1599858138.566,1599858141.155,target,click,468.8237682269837,159.44203237003103,-48.70745207945255,20.43105627164039,13.576011579446492,0VqDgXFsjXPDY51iSjqL1qMRzEK2,-MGyyQLwyQwd0lzzIZUp,-MGyySr5HfAa7_4eoHPi,target-click,2,-1.0,2.5889999866485596,143.26613244759815
74,1599858144.871,1599858151.668,target,click,365.4293472403179,253.49353097320665,-154.97815439418474,26.663374223303542,24.778667401952763,0VqDgXFsjXPDY51iSjqL1qMRzEK2,-MGyyQLwyQwd0lzzIZUp,-MGyyUOc8IinBCzD2tbv,target-click,10,-1.0,6.796999931335449,9.55226232392214
75,1599858256.382,1599858259.992,target,click,406.6006078911786,280.43534065545987,28.279881457039757,5.006383656220366,25.058056014004745,0VqDgXFsjXPDY51iSjqL1qMRzEK2,-MGyyQLwyQwd0lzzIZUp,-MGyyuby7h90dsfHvdW1,target-click,3,-1.0,3.6100001335144043,58.72308698714037
76,1599858263.698,1599858268.328,target,click,242.54431166245428,395.9520393594384,39.532018127552796,9.257813329840957,11.596435952284267,0VqDgXFsjXPDY51iSjqL1qMRzEK2,-MGyyQLwyQwd0lzzIZUp,-MGyywPHJMMnkRqB12zi,target-click,4,-1.0,4.630000114440918,186.26595626877
77,1599858271.953,1599858275.096,target,click,515.7643188526339,345.2043693585334,66.1605944783739,17.216596536134837,15.659714363567513,0VqDgXFsjXPDY51iSjqL1qMRzEK2,-MGyyQLwyQwd0lzzIZUp,-MGyyyQGusVRG-F9mlLD,target-click,3,-1.0,3.1429998874664307,185.63779147688092
78,1599858286.305,1599858288.012,target,click,358.6144205154143,247.9610893119575,98.85143197716127,27.51565280854149,39.40039735693294,0VqDgXFsjXPDY51iSjqL1qMRzEK2,-MGyyQLwyQwd0lzzIZUp,-MGyz0vWNvM3BzgICL_o,target-click,1,-1.0,1.7070000171661377,1.9198148395924712
79,1599858291.769,1599858294.232,target,click,266.4437175595082,119.1097802112206,-151.57796793095227,5.700707343608181,49.80287363376202,0VqDgXFsjXPDY51iSjqL1qMRzEK2,-MGyyQLwyQwd0lzzIZUp,-MGyz2FtRRxJ38jhICRP,target-click,2,-1.0,2.4630000591278076,158.34111748443468
80,1599858297.843,1599858304.616,target,click,410.02821881336945,269.62654840500636,-32.34183598763808,29.964848594336353,5.262164572878003,0VqDgXFsjXPDY51iSjqL1qMRzEK2,-MGyyQLwyQwd0lzzIZUp,-MGyz3jnNQlYqqJ6Jwfe,target-click,8,-1.0,6.773000001907349,56.898563159561945
81,1599858308.593,1599858310.88,target,click,404.30660964853314,118.869298968095,35.093570152111155,16.396960465473985,57.4002344239535,0VqDgXFsjXPDY51iSjqL1qMRzEK2,-MGyyQLwyQwd0lzzIZUp,-MGyz6MlX2CSBDldVbdi,target-click,2,-1.0,2.2870001792907715,138.46268330309698
82,1599858337.664,1599858340.781,target,click,462.8541450548646,299.1057056591372,178.30342565520093,18.36064700187952,11.824474429226647,0VqDgXFsjXPDY51iSjqL1qMRzEK2,-MGyyQLwyQwd0lzzIZUp,-MGyzDT-Pa5sT0dx7-HC,target-click,2,-1.0,3.116999864578247,117.11396912792432
83,1599858344.438,1599858347.204,target,click,386.3524587841242,134.76315912985973,-100.09410058105989,13.80401951843986,56.26810295758412,0VqDgXFsjXPDY51iSjqL1qMRzEK2,-MGyyQLwyQwd0lzzIZUp,-MGyzF6qK6pXW1NDJpln,target-click,2,-1.0,2.7660000324249268,117.94754193565656
